,Area,Count
0,world-Australasia & Oceania,304
1,world-Central Asia,571
2,world-East Asia,808
3,world-Western Europe-United Kingdom-Belfast,2201
4,world-Western Europe-Greece-Athens,1037
5,world-Western Europe-France-Paris,615
6,world-Western Europe-Italy-Rome,550
7,world-Western Europe-France-Unknown,423
8,world-Western Europe-Spain-Madrid,414
9,world-Western Europe-United Kingdom-London,401
10,world-Western Europe-United Kingdom-Londonderry,389
11,world-Western Europe-Spain-Bilbao,334
12,world-Western Europe-France-Ajaccio,305
13,world-Western Europe-Spain-Donostia San Sebastian,272
14,world-Western Europe-France-Bastia,226
15,world-Western Europe-Spain-Barcelona,221
16,world-Sub Saharan Africa-Somalia-Mogadishu,1761
17,world-Sub Saharan Africa-Nigeria-Maiduguri,465
18,world-Sub Saharan Africa-South Africa-Johannesburg,266
19,world-Sub Saharan Africa-Burundi-Bujumbura,244
20,world-Sub Saharan Africa-Somalia-Kismayo,206
21,world-Southeast Asia-Philippines-Manila,489
22,world-Southeast Asia-Philippines-Unknown,433
23,world-Southeast Asia-Thailand-Unknown,273
24,world-Southeast Asia-Thailand-Bangkok,220
25,world-South Asia-Pakistan-Karachi,2672
26,world-South Asia-Afghanistan-Unknown,1202
27,world-South Asia-Pakistan-Quetta,848
28,world-South Asia-Afghanistan-Kabul,847
29,world-South Asia-Pakistan-Peshawar,829
30,world-South Asia-India-Srinagar,687
31,world-South Asia-India-Unknown,629
32,world-South Asia-Bangladesh-Dhaka,558
33,world-South Asia-India-Imphal,438
34,world-South Asia-Afghanistan-Kandahar,390
35,world-South Asia-Sri Lanka-Colombo,323
36,world-South Asia-Afghanistan-Jalalabad,304
37,world-South Asia-Pakistan-Lahore,235
38,world-South Asia-Afghanistan-Ghazni,215
39,world-South Asia-Afghanistan-Lashkar Gah,210
40,world-South America-Peru-Lima,2359
41,world-South America-Chile-Santiago,1621
42,world-South America-Colombia-Bogota,986
43,world-South America-Colombia-Unknown,931
44,world-South America-Colombia-Medellin,850
45,world-South America-Argentina-Buenos Aires,463
46,world-South America-Peru-Ayacucho,458
47,world-South America-Colombia-Cali,310
48,world-North America-United States-New York City,467
49,world-Middle East & North Africa-Iraq-Baghdad,7761
50,world-Middle East & North Africa-Iraq-Mosul,2309
51,world-Middle East & North Africa-Turkey-Istanbul,1048
52,world-Middle East & North Africa-Iraq-Kirkuk,986
53,world-Middle East & North Africa-Lebanon-Beirut,914
54,world-Middle East & North Africa-Libya-Benghazi,855
55,world-Middle East & North Africa-Iraq-Baqubah,752
56,world-Middle East & North Africa-Iraq-Unknown,635
57,world-Middle East & North Africa-Iraq-Fallujah,584
58,world-Middle East & North Africa-Yemen-Unknown,573
59,world-Middle East & North Africa-Egypt-Arish,540
60,world-Middle East & North Africa-Iraq-Ramadi,518
61,world-Middle East & North Africa-Syria-Aleppo,491
62,world-Middle East & North Africa-Yemen-Sanaa,491
63,world-Middle East & North Africa-Israel-Jerusalem,487
64,world-Middle East & North Africa-Iraq-Tikrit,427
65,world-Middle East & North Africa-Algeria-Algiers,407
66,world-Middle East & North Africa-Turkey-Unknown,404
67,world-Middle East & North Africa-Libya-Tripoli,396
68,world-Middle East & North Africa-Syria-Damascus,386
69,world-Middle East & North Africa-West Bank and Gaza Strip-Gaza,342
70,world-Middle East & North Africa-Iraq-Abu Ghraib,332
71,world-Middle East & North Africa-Yemen-Aden,306
72,world-Middle East & North Africa-Iraq-Tuz Khormato,290
73,world-Middle East & North Africa-Turkey-Ankara,290
74,world-Middle East & North Africa-Yemen-Taizz,280
75,world-Middle East & North Africa-Iran-Tehran,278
76,world-Middle East & North Africa-Iraq-Madain,274
77,world-Middle East & North Africa-Iraq-Samarra,271
78,world-Middle East & North Africa-Egypt-Sheikh Zuweid,265
79,world-Middle East & North Africa-Iraq-Baiji,253
80,world-Middle East & North Africa-Egypt-Unknown,247
81,world-Middle East & North Africa-Iraq-Taji,242
82,world-Middle East & North Africa-Iraq-Tarmiyah,241
83,world-Middle East & North Africa-Iraq-Basra,233
84,world-Middle East & North Africa-Iraq-Muqdadiyah,227
85,world-Middle East & North Africa-Iraq-Mahmudiyah,217
86,world-Middle East & North Africa-Egypt-Cairo,206
87,world-Middle East & North Africa-West Bank and Gaza Strip-Hebron,206
88,world-Middle East & North Africa-Lebanon-Tripoli,205
89,world-Eastern Europe-Russia-Grozny,221
90,world-Central America & Caribbean-El Salvador-San Salvador,1560
91,world-Central America & Caribbean-Guatemala-Guatemala City,764
92,world-Central America & Caribbean-El Salvador-Unknown,603
93,world-Central America & Caribbean-Guatemala-Unknown,283
