,Region,Country,Count,Total,class
77,Middle East & North Africa,Iraq,26057,217050.0,9
119,South Asia,Pakistan,14847,67819.0,11
112,South Asia,Afghanistan,14509,101323.0,11
115,South Asia,India,12853,49389.0,11
102,South America,Colombia,8515,25345.0,6
128,Southeast Asia,Philippines,7509,23906.0,3
108,South America,Peru,6108,16866.0,6
202,Western Europe,United Kingdom,5335,9549.0,4
18,Central America & Caribbean,El Salvador,5320,17115.0,1
171,Sub-Saharan Africa,Somalia,4674,21130.0,8
163,Sub-Saharan Africa,Nigeria,4556,36502.0,8
90,Middle East & North Africa,Turkey,4391,17088.0,9
131,Southeast Asia,Thailand,4032,10788.0,3
94,Middle East & North Africa,Yemen,3673,19537.0,9
199,Western Europe,Spain,3251,6224.0,4
120,South Asia,Sri Lanka,3029,31099.0,11
97,North America,United States,2926,29974.0,2
72,Middle East & North Africa,Algeria,2749,20245.0,9
188,Western Europe,France,2706,3097.0,4
74,Middle East & North Africa,Egypt,2534,8909.0,9
92,Middle East & North Africa,West Bank and Gaza Strip,2512,4925.0,9
81,Middle East & North Africa,Lebanon,2486,14969.0,9
88,Middle East & North Africa,Syria,2438,32327.0,9
82,Middle East & North Africa,Libya,2417,6532.0,9
101,South America,Chile,2410,989.0,6
64,Eastern Europe,Russia,2218,11796.0,7
78,Middle East & North Africa,Israel,2080,9399.0,9
172,Sub-Saharan Africa,South Africa,2057,7254.0,8
21,Central America & Caribbean,Guatemala,2052,6410.0,1
26,Central America & Caribbean,Nicaragua,1977,12347.0,1
70,Eastern Europe,Ukraine,1745,5139.0,7
113,South Asia,Bangladesh,1682,9523.0,11
193,Western Europe,Italy,1579,1719.0,4
118,South Asia,Nepal,1314,4152.0,11
190,Western Europe,Greece,1303,1011.0,4
174,Sub-Saharan Africa,Sudan,1009,6220.0,8
142,Sub-Saharan Africa,Democratic Republic of the Congo,938,6702.0,8
98,South America,Argentina,820,1249.0,6
124,Southeast Asia,Indonesia,805,3873.0,3
189,Western Europe,Germany,758,776.0,4
153,Sub-Saharan Africa,Kenya,734,8360.0,8
158,Sub-Saharan Africa,Mali,732,3555.0,8
76,Middle East & North Africa,Iran,697,5893.0,9
137,Sub-Saharan Africa,Burundi,623,6775.0,8
127,Southeast Asia,Myanmar,587,3032.0,3
138,Sub-Saharan Africa,Cameroon,583,3951.0,8
96,North America,Mexico,551,1518.0,2
204,Western Europe,West Germany (FRG),541,959.0,4
133,Sub-Saharan Africa,Angola,499,5498.0,8
86,Middle East & North Africa,Saudi Arabia,463,2415.0,9
