Area,Count
world-Australasia & Oceania,304
world-Central Asia,571
world-East Asia,808
world-Western Europe-United Kingdom-Belfast,2201
world-Western Europe-Greece-Athens,1037
world-Western Europe-France-Paris,615
world-Western Europe-Italy-Rome,550
world-Western Europe-France-Unknown,423
world-Western Europe-Spain-Madrid,414
world-Western Europe-United Kingdom-London,401
world-Western Europe-United Kingdom-Londonderry,389
world-Western Europe-Spain-Bilbao,334
world-Western Europe-France-Ajaccio,305
world-Western Europe-Spain-Donostia San Sebastian,272
world-Western Europe-France-Bastia,226
world-Western Europe-Spain-Barcelona,221
world-Sub Saharan Africa-Somalia-Mogadishu,1761
world-Sub Saharan Africa-Nigeria-Maiduguri,465
world-Sub Saharan Africa-South Africa-Johannesburg,266
world-Sub Saharan Africa-Burundi-Bujumbura,244
world-Sub Saharan Africa-Somalia-Kismayo,206
world-Southeast Asia-Philippines-Manila,489
world-Southeast Asia-Philippines-Unknown,433
world-Southeast Asia-Thailand-Unknown,273
world-Southeast Asia-Thailand-Bangkok,220
world-South Asia-Pakistan-Karachi,2672
world-South Asia-Afghanistan-Unknown,1202
world-South Asia-Pakistan-Quetta,848
world-South Asia-Afghanistan-Kabul,847
world-South Asia-Pakistan-Peshawar,829
world-South Asia-India-Srinagar,687
world-South Asia-India-Unknown,629
world-South Asia-Bangladesh-Dhaka,558
world-South Asia-India-Imphal,438
world-South Asia-Afghanistan-Kandahar,390
world-South Asia-Sri Lanka-Colombo,323
world-South Asia-Afghanistan-Jalalabad,304
world-South Asia-Pakistan-Lahore,235
world-South Asia-Afghanistan-Ghazni,215
world-South Asia-Afghanistan-Lashkar Gah,210
world-South America-Peru-Lima,2359
world-South America-Chile-Santiago,1621
world-South America-Colombia-Bogota,986
world-South America-Colombia-Unknown,931
world-South America-Colombia-Medellin,850
world-South America-Argentina-Buenos Aires,463
world-South America-Peru-Ayacucho,458
world-South America-Colombia-Cali,310
world-North America-United States-New York City,467
world-Middle East & North Africa-Iraq-Baghdad,7761
world-Middle East & North Africa-Iraq-Mosul,2309
world-Middle East & North Africa-Turkey-Istanbul,1048
world-Middle East & North Africa-Iraq-Kirkuk,986
world-Middle East & North Africa-Lebanon-Beirut,914
world-Middle East & North Africa-Libya-Benghazi,855
world-Middle East & North Africa-Iraq-Baqubah,752
world-Middle East & North Africa-Iraq-Unknown,635
world-Middle East & North Africa-Iraq-Fallujah,584
world-Middle East & North Africa-Yemen-Unknown,573
world-Middle East & North Africa-Egypt-Arish,540
world-Middle East & North Africa-Iraq-Ramadi,518
world-Middle East & North Africa-Syria-Aleppo,491
world-Middle East & North Africa-Yemen-Sanaa,491
world-Middle East & North Africa-Israel-Jerusalem,487
world-Middle East & North Africa-Iraq-Tikrit,427
world-Middle East & North Africa-Algeria-Algiers,407
world-Middle East & North Africa-Turkey-Unknown,404
world-Middle East & North Africa-Libya-Tripoli,396
world-Middle East & North Africa-Syria-Damascus,386
world-Middle East & North Africa-West Bank and Gaza Strip-Gaza,342
world-Middle East & North Africa-Iraq-Abu Ghraib,332
world-Middle East & North Africa-Yemen-Aden,306
world-Middle East & North Africa-Iraq-Tuz Khormato,290
world-Middle East & North Africa-Turkey-Ankara,290
world-Middle East & North Africa-Yemen-Taizz,280
world-Middle East & North Africa-Iran-Tehran,278
world-Middle East & North Africa-Iraq-Madain,274
world-Middle East & North Africa-Iraq-Samarra,271
world-Middle East & North Africa-Egypt-Sheikh Zuweid,265
world-Middle East & North Africa-Iraq-Baiji,253
world-Middle East & North Africa-Egypt-Unknown,247
world-Middle East & North Africa-Iraq-Taji,242
world-Middle East & North Africa-Iraq-Tarmiyah,241
world-Middle East & North Africa-Iraq-Basra,233
world-Middle East & North Africa-Iraq-Muqdadiyah,227
world-Middle East & North Africa-Iraq-Mahmudiyah,217
world-Middle East & North Africa-Egypt-Cairo,206
world-Middle East & North Africa-West Bank and Gaza Strip-Hebron,206
world-Middle East & North Africa-Lebanon-Tripoli,205
world-Eastern Europe-Russia-Grozny,221
world-Central America & Caribbean-El Salvador-San Salvador,1560
world-Central America & Caribbean-Guatemala-Guatemala City,764
world-Central America & Caribbean-El Salvador-Unknown,603
world-Central America & Caribbean-Guatemala-Unknown,283
